Avg_Infect_over_1_period,delta_val,Initial_Conditions,Max_total_pop,Min_total_pop,period
49.77590765790011,0.0,"[100, 1]",55.16655566126906,45.184662117495336,1
23.04337411758,0.23076923076923078,"[10.0, 45.184662117495336]",28.696642579057297,18.712789704675995,1
14.961060276243778,0.46153846153846156,"[10.000000000000007, 18.712789704675988]",20.886352388089975,10.90079430531698,1
11.059004516296124,0.6923076923076923,"[10.000000001468996, 10.900794303847984]",17.240176556212504,7.2531349622326795,1
8.760359724870185,0.9230769230769231,"[10.000000511675422, 7.253134450557258]",15.179056441758327,5.190725809260711,1
7.2452168891251025,1.153846153846154,"[10.000016085519261, 5.190709723741449]",13.88404355581606,3.894595375277128,1
6.17128188503684,1.3846153846153846,"[10.00015612505023, 3.894439250226897]",13.0145677371339,3.0241537974485513,1
5.370307279401442,1.6153846153846154,"[10.00078182299453, 3.023371974454022]",12.404344164676683,2.4130988081300324,1
4.749946064496438,1.8461538461538463,"[10.002600022640319, 2.4104987854897137]",11.963038480157007,1.971080086101897,1
4.255288724103798,2.076923076923077,"[10.006595994576443, 1.964484091525453]",11.637689166862115,1.645121295589152,1
3.8516373716122976,2.307692307692308,"[10.013862312322836, 1.6312589832663158]",11.395399826443766,1.4023123497250298,1
3.515989554897361,2.5384615384615388,"[10.025426775680918, 1.376885574044111]",11.214771639331797,1.2212419861016415,1
3.232493357503221,2.769230769230769,"[10.042137429583514, 1.1791045565181282]",11.081335703995553,1.087430206992423,1
2.989869071593016,3.0,"[10.064612749068141, 1.0228174579242824]",10.98497452894529,0.9907497992868399,1
2.246485540237748,4.0,"[10.093240594846907, 0.897509204439932]",10.851373495179038,0.8562384227931578,1
1.7889356582961522,5.0,"[10.289897408332976, 0.566341014460181]",10.992249515867147,0.996677679818443,1
1.4789474423233866,6.0,"[10.592785564259458, 0.4038921155589842]",11.285055957766861,1.2892972452489637,1
1.2550508218929726,7.0,"[10.977997405387873, 0.31129983986109044]",11.672194139035714,1.6763895197621035,1
1.0857549528310146,8.0,"[11.423878419960523, 0.2525110998015794]",12.122169893534794,2.126404122314129,1
0.9532581141251839,9.0,"[11.914272381631832, 0.21213174068229687]",12.616114098028154,2.620440978743599,1
0.8467385196143074,10.0,"[12.437711918025748, 0.18272906071785053]",13.141996996748496,3.1464522541772753,1
,11.0,"[12.986103461073807, 0.16034879310346942]",,,>6
0.6863117155598222,12.0,"[13.548321580700586, 0.14064727217399617]",16.677467320424682,2.8782550382315693,2
0.6242231149026812,13.0,"[12.85209704491, 0.02615799332156843]",17.97417684081279,3.145152083474598,2
0.5708757270207664,14.0,"[13.126638652811398, 0.018513430663199652]",18.883004792170347,3.555964972697596,2
0.5245466450404973,15.0,"[13.540294308019131, 0.015670664678465458]",19.62134876305453,4.035333394566708,2
0.48393669728091504,16.0,"[14.021054381968153, 0.014279012598554823]",20.271249885859195,4.558819254661627,2
0.4480485428019834,17.0,"[14.545272639358757, 0.013546615302869823]",20.871695490481727,5.114661109435623,2
0.41610394482384827,18.0,"[15.101483057656338, 0.013178051779283578]",21.443202536419097,5.695982349189669,2
0.38748676317570035,19.0,"[15.682946572519505, 0.013035776670163732]",21.997231514801022,6.298278242805727,2
0.36170284897844623,20.0,"[16.285231708030647, 0.01304653477507966]",22.54042720213267,6.91838358985357,2
0.33835128036585155,21.0,"[16.905215956020868, 0.013167633832703526]",23.076720484267494,7.5539762228944785,2
0.3171033687651596,22.0,"[17.540603650894862, 0.013372571999616308]",23.60844025135851,8.203310122189459,2
0.2976870930582555,23.0,"[18.18966596856636, 0.013644153623101445]",24.136930207329407,8.865060214172242,2
0.27987539231501646,24.0,"[18.85108931817947, 0.013970895992772401]",24.662902793688662,9.538227536358058,2
0.26347724559348323,25.0,"[19.523882506644064, 0.014345029713994746]",25.186646126789288,10.222080429036808,2
0.2483307943178153,26.0,"[20.207319094934434, 0.014761334102374526]",25.70814438686837,10.916119680928123,2
0.23429798163888732,27.0,"[20.900903238824924, 0.015216442103197727]",26.22714386672949,11.620061883253008,2
