Avg_Infect_over_1_period,g_val,Initial_Conditions,Max_total_pop,Min_total_pop
0.0,0.1,"[100, 1]",0.1,0.1
0.0,0.35789473684210527,"[100, 1]",0.35789473684210527,0.35789473684210527
0.0,0.6157894736842106,"[100, 1]",0.6157894736842107,0.6157894736842107
0.0,0.8736842105263158,"[100, 1]",0.8736842105263162,0.8736842105263162
0.0,1.1315789473684212,"[100, 1]",1.1315789473684212,1.1315789473684212
0.0,1.3894736842105266,"[100, 1]",1.3894736842105266,1.3894736842105266
0.0,1.6473684210526318,"[100, 1]",1.6473684210526314,1.6473684210526314
0.0,1.905263157894737,"[100, 1]",1.9052631578947365,1.9052631578947365
0.0,2.1631578947368424,"[100, 1]",2.163157894736842,2.163157894736842
0.0,2.421052631578948,"[100, 1]",2.421052631578948,2.421052631578948
0.0,2.678947368421053,"[100, 1]",2.6789473684210527,2.6789473684210527
0.0,2.936842105263158,"[100, 1]",2.9368421052631577,2.9368421052631577
2.396672706942415e-266,3.1947368421052635,"[100, 1]",3.194736842105239,3.194736842105239
7.910874202277798e-153,3.452631578947369,"[100, 1]",3.4526315789473525,3.4526315789473525
2.379836234987117e-44,3.710526315789474,"[100, 1]",3.7105263157894695,3.7105263157894695
0.03773348558628847,3.9684210526315793,"[100, 1]",3.8214515302195604,3.8214515302195604
0.09661079877811217,4.226315789473684,"[100, 1]",3.8368226660503377,3.8368226660503333
0.15181366483744774,4.484210526315789,"[100, 1]",3.8514750390132524,3.8514750390132075
0.20369171205156245,4.742105263157895,"[100, 1]",3.86546037267808,3.865460372678073
0.25255022404375627,5.0,"[100, 1]",3.8788253360656224,3.8788253360656073
0.418010560994831,6.0,"[100, 1]",3.9255149614093443,3.9255149614093385
0.5534783067174693,7.0,"[100, 1]",3.965434844831042,3.9654348448308734
0.6666666666666852,8.0,"[100, 1]",4.000000000000055,3.9999999999999636
0.7628024545701325,9.0,"[100, 1]",4.030247580839648,4.030247580839578
0.8455659815234104,10.0,"[100, 1]",4.056957476904274,4.056957476904243
0.9176308767309911,11.0,"[100, 1]",4.080728803260762,4.080728803260756
0.9809905497536485,12.0,"[100, 1]",4.102030247619059,4.102030247618701
1.0371642149996567,13.0,"[100, 1]",4.12123425634582,4.121234256345684
1.0873316474350267,14.0,"[100, 1]",4.1386408701912885,4.138640870191251
1.132424052534612,15.0,"[100, 1]",4.1544947279570605,4.154494727957039
1.1731869760520826,16.0,"[100, 1]",4.168997441060299,4.168997441060206
1.2102248669568167,17.0,"[100, 1]",4.182316759156364,4.182316759156326
1.2440332872191777,18.0,"[100, 1]",4.194593465999625,4.194593465999616
1.2750226127981361,19.0,"[100, 1]",4.205946640797898,4.205946640797888
1.303535754189741,20.0,"[100, 1]",4.216477723463607,4.216477723463369
1.329861596930729,21.0,"[100, 1]",4.226273691803464,4.2262736918034145
1.3542453287430747,22.0,"[100, 1]",4.2354095706457215,4.235409570645635
1.3768964683906684,23.0,"[100, 1]",4.2439504323462005,4.243950432346158
1.3979951750688895,24.0,"[100, 1]",4.251953005805325,4.251953005805122
1.4176972555445813,25.0,"[100, 1]",4.259466981099128,4.259466981098976
1.4361381739046513,26.0,"[100, 1]",4.266536075241639,4.266536075241621
1.4534362894788524,27.0,"[100, 1]",4.273198908875097,4.27319890887489
1.4696954917665128,28.0,"[100, 1]",4.279489732102873,4.279489732102759
1.4850073600869653,29.0,"[100, 1]",4.285439029059983,4.285439029059967
1.4994529455350363,30.0,"[100, 1]",4.291074024329648,4.29107402432956
1.5131042504820478,31.0,"[100, 1]",4.296419109391941,4.296419109391863
1.52602546413965,32.0,"[100, 1]",4.3014962035255895,4.3014962035255575
1.5382740000610136,33.0,"[100, 1]",4.306325060671773,4.306325060671616
1.5499013718150585,34.0,"[100, 1]",4.31092353150736,4.310923531507316
1.5609539356576771,35.0,"[100, 1]",4.315307788204682,4.315307788204609
1.571473523281038,36.0,"[100, 1]",4.319492517953567,4.319492517953093
1.5814979832390332,37.0,"[100, 1]",4.3234910902146515,4.323491090214636
1.5910616461222418,38.0,"[100, 1]",4.327315701788269,4.327315701788101
1.6001957257707904,39.0,"[100, 1]",4.330977503063838,4.330977503063748
1.6089286665907574,40.0,"[100, 1]",4.334486708252701,4.334486708252678
1.6172864452664222,41.0,"[100, 1]",4.337852691929061,4.337852691928938
1.625292833727149,42.0,"[100, 1]",4.341084073830354,4.34108407382963
1.6329696290714404,43.0,"[100, 1]",4.344188793552345,4.344188793552335
1.6403368552085662,44.0,"[100, 1]",4.347174176527248,4.347174176527231
1.647412940206015,45.0,"[100, 1]",4.3500469924397125,4.350046992439627
1.6542148727021533,46.0,"[100, 1]",4.352813507088174,4.352813507088085
1.6607583402188557,47.0,"[100, 1]",4.355479528528457,4.355479528528271
1.6670578517788637,48.0,"[100, 1]",4.35805044822569,4.358050448225667
1.6731268468725553,49.0,"[100, 1]",4.3605312778354435,4.360531277835439
1.6789777925198912,50.0,"[100, 1]",4.362926682146061,4.3629266821457335
