Avg_Infect_over_1_period,g_val,Initial_Conditions,Max_total_pop,Min_total_pop
0.0,0.1,"[100, 1]",0.5000000000000003,0.5000000000000003
0.09620448168827865,1.0,"[100, 1]",3.83671568590897,3.8367156859089473
0.41035825838793194,2.0,"[100, 1]",3.9233060813728726,3.923306081372834
0.6302271767235841,3.0,"[100, 1]",3.9887498239932366,3.9887498239931944
0.793994138564628,4.0,"[100, 1]",4.040240475167552,4.040240475167492
0.9213017593249646,5.0,"[100, 1]",4.081952638987467,4.081952638987401
1.0234162880986075,6.0,"[100, 1]",4.116506408139701,4.116506408139667
1.1073155269969004,7.0,"[100, 1]",4.145642500924397,4.145642500924277
1.1775762266703942,8.0,"[100, 1]",4.170568797505023,4.1705687975048455
1.2373370036853604,9.0,"[100, 1]",4.192152838042516,4.192152838042333
1.2888283788134602,10.0,"[100, 1]",4.211035473516951,4.211035473516792
1.3336825476881673,11.0,"[100, 1]",4.227701308526496,4.22770130852631
1.3731234233042735,12.0,"[100, 1]",4.242524136492694,4.242524136492629
1.4080880049770752,13.0,"[100, 1]",4.255797236703451,4.25579723670343
1.4393065569193417,14.0,"[100, 1]",4.26775415636933,4.267754156369158
1.4673571292642038,15.0,"[100, 1]",4.278583317475104,4.278583317474614
1.4927035707118987,16.0,"[100, 1]",4.28843850363564,4.288438503635619
1.5157226168173283,17.0,"[100, 1]",4.297446531055195,4.297446531055154
1.5367235689774144,18.0,"[100, 1]",4.305712953557627,4.305712953557577
1.5559628376651828,19.0,"[100, 1]",4.313326368936981,4.313326368936867
1.573654856205791,20.0,"[100, 1]",4.32036171323168,4.320361713231338
1.589980384686159,21.0,"[100, 1]",4.32688281143454,4.326882811434469
1.6050929075551927,22.0,"[100, 1]",4.332944374322861,4.332944374322817
1.6191236189071128,23.0,"[100, 1]",4.338593577484003,4.338593577483957
1.6321853478150226,24.0,"[100, 1]",4.343871321545779,4.343871321545711
1.6443756787001262,25.0,"[100, 1]",4.348813246570149,4.348813246570131
1.6557794537029544,26.0,"[100, 1]",4.353450555020567,4.353450555020498
1.6664707958199005,27.0,"[100, 1]",4.357810684321769,4.357810684321733
1.6765147569496763,28.0,"[100, 1]",4.361917860248766,4.3619178602487345
1.685968669827763,29.0,"[100, 1]",4.365793555157759,4.365793555157734
1.6948832643183422,30.0,"[100, 1]",4.369456869678224,4.3694568696782
1.70330359478038,31.0,"[100, 1]",4.372924852424018,4.372924852423903
1.711269814900772,32.0,"[100, 1]",4.37621276919006,4.376212769189686
1.7188178285690459,33.0,"[100, 1]",4.3793343307334816,4.37933433073327
1.7259798393930472,34.0,"[100, 1]",4.382301886407298,4.382301886407186
1.7327848168556934,35.0,"[100, 1]",4.385126589488295,4.385126589488231
1.7392588935382425,36.0,"[100, 1]",4.387818538922914,4.38781853892277
1.745425705047829,37.0,"[100, 1]",4.390386901334981,4.3903869013346775
1.7513066820869863,38.0,"[100, 1]",4.392840016434932,4.392840016434667
1.7569213023641141,39.0,"[100, 1]",4.395185488413121,4.39518548841308
1.7622873086578124,40.0,"[100, 1]",4.397430265448969,4.397430265448893
1.7674208982346755,41.0,"[100, 1]",4.399580709102737,4.399580709102574
1.7723368879268913,42.0,"[100, 1]",4.401642655065444,4.401642655065335
1.7770488584492246,43.0,"[100, 1]",4.403621466498649,4.403621466498587
1.7815692809447838,44.0,"[100, 1]",4.4055220809985265,4.405522080998418
1.7859096282661082,45.0,"[100, 1]",4.407349052058715,4.407349052058619
1.7900804731017437,46.0,"[100, 1]",4.409106585770322,4.409106585770312
1.794091574729871,47.0,"[100, 1]",4.410798573385769,4.4107985733857005
1.7979519559111534,48.0,"[100, 1]",4.4124286202817125,4.4124286202813465
1.8016699712055075,49.0,"[100, 1]",4.414000071777316,4.414000071777071
1.805253367810886,50.0,"[100, 1]",4.415516036201499,4.415516036201315
